"BlueOdds","RedOdds","BlueAvgSigStrPct","RedAvgSigStrPct","BlueAvgSigStrLanded","RedAvgSigStrLanded","BlueAvgTDLanded","RedAvgTDLanded","BlueAvgTDPct","RedAvgTDPct","BlueAge","RedAge","Winner"
390,-490,0.34,0.421,17,71,0.75,0,0.305,0,30,25,"1"
650,-1000,0.523,0.407,10.5833,36.6667,0.6667,1.1667,0.11,0.344,26,23,"1"
-305,245,0.5,0.39,5.43,2.3,1.7,0.82,0.48,0.37,30,32,"0"
-140,120,0.4,0.45,40.2,55,1,0,0.12,0,30,28,"1"
-112,-108,0.38,0.51,25.5,13,0,0.5,0,0.201,32,34,"1"
-122,100,0.425,0.22,36.1667,17.5,0,0,0,0,29,28,"0"
-185,170,0.633,0.474,28.7647,38.1923,0.2,2.3333,0.1,0.246,30,31,"1"
-218,180,0.48,0.38,3.28,2.73,1.02,1.71,0.28,0.2,32,29,"1"
-200,170,0.523,0.685,44.6667,34.25,0.2222,0.5,0.25,0.093,27,32,"1"
195,-235,0.366,0.364,49.15,45,0.5,1.8571,0.25,0.464,29,31,"1"
220,-270,0.46,0.37,3.72,3.7,1.1,4.91,0.36,0.53,36,30,"1"
245,-290,0.545,0.405,29,40.5,2.5,1.3,0.535,0.453,36,31,"1"
-110,-110,0.46,0.57,3.08,5.03,2.5,0,0.52,0,27,34,"0"
110,-130,0.65,0.536,4.54,3.41,0.97,0.39,0.5,0.3,33,35,"0"
315,-380,0.51,0.5,4.72,3.65,0.48,3.96,0.33,0.49,28,34,"1"
-475,420,0.475,0.38,8.34,3.35,0.21,0.34,0.227,0.29,28,37,"0"
1000,-2100,0.6,0.48,50,15,0.3333,1.75,0.131,0.51,34,31,"1"
-105,-115,0.35,0.42,22.3636,43.6667,4,2,0.295,0.534,28,27,"0"
320,-390,0.38,0.47,70.3333,23.4,0,2.5,0,0.395,32,27,"1"
235,-275,0.51,0.4,4.39,3.13,1,0.5,0.25,0.23,32,33,"1"
318,-350,0.552,0.59,6.16,3.02,0,1.93,0,0.53,31,22,"1"
140,-160,0.5,0.369,45.6667,19.75,1.1667,1.2,0.43,0.438,32,36,"0"
270,-375,0.54,0.48,2.65,4.1,1.55,6.63,0.4,0.51,26,25,"1"
325,-400,0.33,0.493,3.64,2.36,0.47,5.25,0.14,0.387,35,33,"1"
-155,125,0.44,0.52,2.17,3.61,2.48,1.47,0.33,0.7,27,31,"1"
645,-1000,0.503,0.59,23.1538,5,1,2.51,0.667,0.875,31,26,"1"
-355,320,0.409,0.195,52.6667,2.5,0.6,0,0.5,0,23,37,"0"
-150,130,0.45,0.39,3.96,4.63,2.68,0.52,0.367,0.6,28,29,"1"
255,-305,0.41,0.47,4.92,3.28,0.44,0.61,0.33,0.5,29,28,"0"
-290,260,0.54,0.591,54.6,42.8,0.1429,2,0.063,0.66,26,31,"0"
130,-150,0.46,0.63,4.4,4.12,0.51,0,0.32,0,29,33,"1"
-550,410,0.43,0.805,40,84,2.6667,2.5,0.667,0.5,27,28,"0"
170,-200,0.435,0.535,46.6667,27.25,2.8333,0.7778,0.438,0.151,30,33,"0"
285,-315,0.38,0.63,29.5,28.25,4,0,0.5,0,30,24,"1"
130,-150,0.466,0.38,4.65,4.63,0,2.49,0,0.33,35,28,"1"
550,-675,0.448,0.512,35.6,28.8571,0.5333,1.73,0.432,0.413,32,31,"1"
-145,125,0.51,0.4,4.36,4.33,0.71,2.24,0.18,0.37,27,34,"1"
425,-560,0.36,0.52,1.86,5.42,2.22,1.48,0.647,0.4,36,31,"1"
-106,-105,0.47,0.4,4.49,3.95,0.24,2.29,0.5,0.5,31,29,"1"
-150,130,0.4,0.427,42,11.5,0.7222,2,0.46,0.503,37,38,"0"
150,-175,0.34,0.532,2.04,7.92,0,0.6667,0,0.6,26,26,"1"
210,-230,0.484,0.82,28.2,18,2.2,1,0.507,1,28,28,"1"
195,-240,0.44,0.37,2.44,3.45,0.72,4.91,0.4,0.56,37,32,"1"
230,-250,0.217,0.563,9.5,20.5,0,1.5,0,0.37,28,31,"0"
-240,200,0.39,0.513,60.6667,23.7778,2.1111,0.5,0.25,0.5,32,31,"1"
-175,163,0.52,0.429,50,44.25,0.2,0.9375,0.05,0.378,22,34,"0"
675,-840,0.51,0.41,17.25,44.6667,1.6667,1.6667,0.202,0.496,36,26,"1"
145,-155,0.433,0.413,32,51.75,1,0.5,0.225,0.205,33,30,"0"
59.7932402411945,230,0.53,0.317,10,12.375,1.5,0.95,0.117,0.22,31,34,"1"
-125,-105,0.49,0.47,19.841809878528,21.1527659641032,0.6,1,0.313,0.4,22,32,"1"
-102,-117,0.43,0.69,9.28,37.75,0,0,0,0,26,30,"1"
-355,280,0.66,0.44,5.11,2.92,3.44,1.25,0.5,0.41,27,40,"0"
140,-165,0.44,0.51,2.45,6,2.33,1,0.24,0.3,27,34,"1"
110,-120,0.51,0.56,2.05,2.9,6.63,2.41,0.33,0.75,25,36,"0"
-180,140,0.61,0.54,18.3,26.8889,0.5,1.14,0.5,0.173,32,30,"1"
-210,176,0.59,0.423,12.8,41.25,0.3,1.8,0.057,0.285,26,26,"0"
105,-125,0.403,0.581,1.33,3.16,2.54,3.73,0.66,1,30,30,"1"
-215,195,0.583,0.46,3.18,5.07,2.73,1.1,0.41,0.45,27,33,"0"
225,-265,0.457,0.54,5.5,3.18,0.13,1.44,0.5,0.53,30,29,"1"
-305,255,0.579,0.377,70,24,0.375,2.6522,0.333,0.4,28,32,"0"
-105,-115,0.513,0.57,3.94,4.61,0,1.49,0,0.37,29,27,"1"
59.7932402411945,-115.711474369147,0.33,0.42,3.91,1.99,4.17,1.75,0.57,0.42,32,37,"1"
155,-180,0.39,0.55,3.44,2.98,0.32,2.36,0.4,0.53,30,32,"1"
120,-140,0.338,0.417,13,28.1667,1.2,1.2727,0.408,0.333,29,28,"1"
-115,-105,0.52,0.52,5.4,4.58,0.35,3.45,0.6,0.53,26,24,"1"
-350,270,0.43,0.51,3.39,2.07,1.1,3.65,0.26,0.42,26,32,"0"
210,-250,0.4,0.45,6.26,6.72,1.63,1.83,0.59,1,26,27,"1"
-170,150,0.445,0.327,69.5,23,0.5,1.6667,0.25,0.365,34,38,"0"
-115,-105,0.509,0.48,5.08,4.96,2.2,2.31,0.37,0.37,26,32,"0"
110,-130,0.609,0.373,7,21.6667,0,0.4118,0,0.333,26,28,"1"
180,-220,0.329,0.38,3.12,3.89,0.77,2.7143,0.26,0.47,33,29,"1"
121,-130,0.62,0.4,30.8462,18.875,0.5,0.6,0.5,0.14,37,32,"1"
-135,115,0.67,0.402,33.4,2.75,2.1667,0.5,1,0.26,24,29,"0"
400,-455,0.3,0.337,27.4,41,6,1.4545,0.42,0.393,29,30,"1"
210,-250,0.41,0.42,5.32,4.32,2,0.61,0.383,0.5,31,34,"1"
150,-170,0.54,0.435,43,60.5333,3.2,0.25,0.379,0.125,30,25,"0"
-750,550,0.49,0.429,63.3333,29.3333,1,2.3333,0.33,0.36,20,32,"0"
600,-850,0.487,0.5,6.05,4.91,0.25,0.6,0.5,0.53,32,29,"1"
59.7932402411945,-115.711474369147,0.33,0.52,2.3,5.06,2.4,1.56,0.25,0.53,25,28,"1"
145,-165,0.38,0.448,2.12,19.0667,0.36,0.65,0.33,0.137,35,35,"0"
-360,285,0.51,0.48,4.18,5.57,0.98,0.36,0.3,0.22,28,33,"1"
300,-380,0.45,0.72,32,51,1.3333,0.25,0.428,0.231,34,35,"1"
-134,121,0.35,0.46,13,10.5,0.52,0.71,0.417,0.1,35,33,"0"
425,-550,0.365,0.3,28,23,1.2222,1,0.312,0.178,38,30,"1"
-145,114,0.38,0.53,3.46,3.34,0.24,4.36,0.5,0.46,30,25,"1"
120,-140,0.393,0.47,28.5,17.8333,0.4286,0.6667,0.237,0.395,33,23,"1"
-140,120,0.61,0.46,29.6667,24.5,0,0.28,0,0.2,31,37,"0"
140,-150,0.437,0.75,27.6923,25.5,2.0909,4,0.446,0.843,26,23,"1"
310,-370,0.57,0.333,42.2,24.8462,2.6,2.7,0.529,0.73,36,31,"1"
-110,-110,0.478,0.41,3.32,4.06,2.26,1.74,0.3,0.38,28,34,"1"
-238,195,0.45,0.487,32.7143,27,1.8235,0.913,0.464,0.297,27,32,"0"
-125,105,0.43,0.43,2.99,2.93,0,1.76,0,0.61,36,37,"0"
-145,125,0.452,0.57,4.16,3.64,2.24,1.71,0.45,0.83,34,31,"1"
-220,180,0.615,0.43,36.5,47.875,2,0.6667,0.4,0.339,29,32,"0"
-130,110,0.45,0.44,3.22,2.96,1.08,0.78,0.313,0.57,26,29,"1"
-165,145,0.54,0.378,26.6667,13.4545,0.3333,2,0.131,0.46,37,45,"0"
-120,100,0.42,0.6,2.33,2.63,3.08,4.04,0.53,0.843,32,30,"1"
-185,170,0.445,0.335,4.7,2.64,0.29,0,1,0,36,38,"0"
-122,100,0.46,0.46,3.83,4.57,0.31,3.85,0.07,0.52,34,35,"1"
235,-255,0.446,0.428,27.3333,26.875,2.3333,5.22,0.364,0.56,37,22,"1"
-185,160,0.52,0.4,4.39,2.99,1.38,5.2,0.41,0.44,27,30,"0"
260,-290,0.493,0.483,16.875,25.75,3,1.25,0.326,0.5,30,31,"1"
115,-135,0.43,0.45,3.89,4.86,3.38,1,0.42,0.16,26,33,"0"
215,-255,0.305,0.41,43.5,28,0,2.46,0,0.417,30,34,"0"
-390,300,0.58,0.456,5.72,2.7,1.2,0.45,0.39,0.1,26,37,"0"
-198,164,0.53,0.43,19.841809878528,21.1527659641032,1.29,1.25,0.36,0.412,35,37,"0"
150,-170,0.39,0.356,49.5,28.45,1.3333,2.5,0.288,0.318,30,30,"1"
110,-136,0.32,0.437,35.6,37.5,1,2.875,0.355,0.374,27,28,"0"
240,-260,0.573,0.432,100.6667,46.2857,1,5.4,0.333,0.55,27,28,"0"
-105,-105,0.45,0.4,4.49,3.37,0.9,2,0.25,0.43,25,29,"1"
130,-155,0.43,0.49,5.32,4.83,0,1.84,0,0.51,29,22,"1"
-130,120,0.32,0.39,70,25.6,0,2,0,0.4,28,27,"0"
-130,120,0.606,0.42,33.4,39.2,3,2.0909,0.27,0.355,29,28,"0"
235,-275,0.51,0.429,18,44.6667,0,1.3333,0,0.5,25,26,"0"
-210,190,0.416,0.429,10.6,42,0,0.6,0,0.5,25,34,"1"
310,-395,0.49,0.4,3.5,4.17,1.4,1.2,0.37,0.327,32,28,"1"
295,-325,0.464,0.492,52,39,1.4,3,0.403,0.418,28,37,"1"
-198,181,0.518,0.61,12.5,25.4,1.73,1.56,0.56,0.37,35,22,"0"
-210,175,0.35,0.33,5.25,30.75,0.25,0.3846,0.5,0.31,35,39,"0"
-355,320,0.46,0.54,4.02,4.14,1.56,3.43,0.265,0.51,34,31,"0"
140,-160,0.36,0.398,4.36,5.38,0.47,0.22,0.11,0.25,28,33,"1"
59.7932402411945,-115.711474369147,0.27,0.57,16,55.8,0,0,0,0,23,32,"1"
-155,135,0.496,0.463,39.4348,67.5,0.4,0,0.167,0,26,29,"0"
-130,112,0.4,0.73,83,14.5,0,0.3333,0,0.196,24,25,"0"
120,-140,0.356,0.4,10.5,24.7143,0,1.33,0,0.272,28,34,"1"
59.7932402411945,-115.711474369147,0.48,0.39,2.92,5.27,0.44,0.84,0.23,0.18,25,25,"0"
-120,110,0.5,0.453,71.8571,51.3333,0.6667,2.5,0.443,0.295,30,29,"0"
-175,155,0.69,0.465,19.6667,35,0,0.8636,0,0.25,22,30,"1"
-170,160,0.727,0.507,25.4,28.6923,2,2.5,0.55,0.8,30,26,"1"
320,-355,0.474,0.357,17.5,21.0833,0.1667,0,0.071,0,34,31,"1"
105,-125,0.526,0.42,3.98,2.98,3.45,2.5,0.44,0.36,30,29,"1"
285,-345,0.4,0.253,50,44,0.5714,0.5,0.5,0.25,27,32,"1"
170,-200,0.523,0.454,31,25.2857,1.8,0.7143,0.395,0.2,29,33,"0"
210,-250,0.47,0.557,58.2,62,0.6667,4.7778,0.167,0.601,26,20,"1"
250,-335,0.39,0.56,3.33,2.9,1.27,5.15,0.35,0.68,35,34,"1"
-130,110,0.633,0.456,37.6667,18.7273,0,0,0,0,29,32,"0"
285,-360,0.55,0.41,28.8,31.125,3.2,2,0.36,0.638,36,25,"1"
-245,205,0.472,0.33,6.68,2.73,0,0,0,0,32,34,"0"
-155,145,0.25,0.24,22,31.6667,3.5,2.1667,0.678,0.383,28,27,"1"
240,-298,0.44,0.463,21.7273,20,0,0,0,0,30,26,"0"
-245,205,0.518,0.48,35.75,51.4444,1.6667,1.4444,0.484,0.367,27,30,"0"
125,-145,0.51,0.459,42.6,54.1111,1.5,0,0.167,0,26,28,"0"
110,-120,0.37,0.38,2.13,2.98,0,0.49,0,0.25,28,31,"0"
125,-145,0.438,0.511,33.25,23,1.5,2.4545,0.342,0.5,38,28,"1"
200,-220,0.58,0.62,37,20.75,0.4,2.7273,0.36,0.5,31,31,"1"
220,-278,0.25,0.48,2.37,4.29,0,1.12,0,0.21,32,21,"0"
100,-120,0.38,0.45,5.03,3.82,0,0.45,0,0.18,28,34,"1"
145,-165,0.48,0.43,3.21,6.26,2,4.5,0.5,0.66,32,28,"1"
145,-165,0.415,0.37,5.88,4.31,0,0,0,0,35,33,"0"
-270,230,0.36,0.3,30,10,0.6,0,0.5,0,27,33,"1"
225,-265,0.481,0.48,2.63,5.75,2.4,0.24,0.41,0.33,32,31,"1"
-280,255,0.49,0.525,51.5,42.8,0.2857,1.0769,0.333,0.23,31,35,"0"
270,-300,0.348,0.277,5.5,57.3333,0,0.6667,0,0.5,30,30,"1"
165,-195,0.48,0.4,3.77,4.5,2.39,1.17,0.38,0.41,34,29,"1"
-335,260,0.43,0.511,3.39,6.55,3.71,1,0.45,0.55,22,32,"1"
-220,180,0.41,0.322,24.6,48,0.4286,1,0.313,0.302,28,31,"1"
-140,120,0.332,0.39,38.3,25.8889,0.6111,1,0.283,0.286,29,31,"0"
-300,250,0.555,0.484,60.6667,27.5,0,2.25,0,0.481,32,34,"1"
112,-132,0.52,0.432,52.1429,21.1429,1.1667,0.2,0.353,0.211,30,30,"0"
-132,114,0.43,0.48,5.24,3.76,1.56,0.78,0.23,0.13,35,36,"0"
-205,170,0.44,0.51,3.96,6.55,0.5,1.17,0.45,0.5,27,29,"1"
-210,175,0.42,0.42,3.84,4.12,0.56,1.54,0.33,0.38,30,33,"0"
-105,-115,0.27,0.403,10.6667,25,0,1,0,0.305,38,36,"0"
-190,165,0.415,0.62,3.59,7.12,0.84,0.17,0.44,0.25,32,22,"0"
-160,140,0.34,0.393,3.08,30.75,1.41,1,0.25,0.5,35,27,"1"
155,-175,0.555,0.627,4.12,4.83,0.5,0,0.66,0,29,32,"1"
-420,375,0.393,0.533,16.3636,38.7778,1,3,1,0.233,27,30,"0"
165,-190,0.63,0.53,19.841809878528,21.1527659641032,0.79,0.3333,0.33,0.183,23,32,"1"
-265,215,0.48,0.48,1.97,3.75,3.66,0.72,0.5,0.75,29,31,"1"
-200,170,0.53,0.469,58,26.1875,3.6,1.6,0.55,0.443,24,35,"1"
170,-185,0.618,0.49,47,27.3333,1,2.1429,0.261,0.359,26,30,"0"
168,-180,0.52,0.473,32.6667,42.4667,1.1667,0.7037,0.39,0.358,30,31,"0"
105,-125,0.49,0.42,3.98,11,0.75,2.25,0.16,0.602,34,37,"1"
-135,115,0.53,0.3,42.6667,70,0.2857,0.25,0.214,0.25,36,35,"0"
255,-310,0.5,0.511,38.75,37.5,0,0,0,0,28,27,"1"
260,-290,0.503,0.655,44.6667,14.2727,0,0.5,0,0.145,34,26,"1"
177,-192,0.553,0.455,27.6364,49,0.1818,0.6,0.133,0.357,33,31,"1"
-160,140,0.44,0.59,4.9,3.71,0.6,2.44,0.55,0.25,33,31,"1"
120,-131,0.34,0.398,30.8462,25.8182,0.1111,3.55,0.111,0.537,34,30,"0"
-130,105,0.49,0.61,4.35,6.6,0.88,0.77,0.5,0.6,33,27,"0"
59.7932402411945,-115.711474369147,0.51,0.43,9.2,4.49,0,0.3333,0,0.42,34,36,"0"
59.7932402411945,-115.711474369147,0.46,0.51,2.2,5.08,0.31,4.76,0.07,0.49,27,32,"0"
-160,140,0.56,0.55,17.6667,20.0714,1.3333,0.6,0.46,0.31,31,28,"1"
375,-470,0.25,1,1.1,3.72,0,0,0,0,28,24,"0"
190,-230,0.385,0.46,31.2667,28.2308,2.5,1,0.596,0.3,31,30,"1"
275,-305,0.5,0.55,2.97,4.8,2.86,0.77,0.64,0.16,32,32,"1"
130,-150,0.4,0.39,2.54,5.16,1.66,0.6,1,0.45,30,31,"0"
111,-130,0.45,0.449,68.3333,41.4,0.25,1,0.167,0.198,28,35,"1"
-185,145,0.465,0.469,58,39.5556,0,1.1429,0,0.319,26,29,"0"
-150,130,0.379,0.46,31.1667,41.75,0.8182,0.2857,0.248,0.175,32,25,"0"
175,-190,0.403,0.47,4.19,3.95,2.74,0.69,0.47,0.36,32,40,"0"
120,-142,0.45,0.443,12.56,24.7143,0.6667,1.5,0.287,0.52,27,32,"1"
160,-185,0.35,0.44,3.73,4.74,1.99,0.5,0.33,0.3,29,30,"1"
-110,-110,0.53,0.49,7.09,4.46,1.23,0.34,0.357,0.14,27,34,"1"
-150,140,0.426,0.4,4.24,2.41,6.75,3.28,0.5,0.36,29,34,"1"
120,-140,0.59,0.46,46,21.5714,0,0.2,0,0.206,28,34,"0"
800,-975,0.58,0.604,19.841809878528,21.1527659641032,2,1.7143,0.482,0.37,30,32,"1"
130,-140,0.401,0.418,38.75,21.8,0.3333,0,0.14,0,35,33,"0"
-175,155,0.5,0.407,43.1765,36.4,0.5,0,0.25,0,27,27,"0"
-350,290,0.383,0.377,37.3333,21.0556,1.3333,0.8,0.47,0.16,27,36,"1"
-165,155,0.69,0.432,42,4,0,0,0,0,32,23,"0"
-115,105,0.435,0.457,43.5,16.5,0.6667,0.75,0.333,0.36,34,32,"1"
-185,160,0.457,0.37,54,33.75,0.5,0.625,0.1,0.291,33,33,"0"
-130,110,0.42,0.5,6.01,5.52,0.91,0,0.6,0,30,35,"1"
59.7932402411945,-115.711474369147,0.52,0.52,5.4,7.25,0.79,0,0.12,0,27,32,"1"
-170,160,0.31,0.392,16,53.1429,3.5,2,0.366,0.284,26,21,"1"
-115,-105,0.49,0.41,3.32,3.77,0.69,0.99,0.28,0.47,28,30,"0"
-180,150,0.427,0.448,35.3333,35.125,0.2,0.5385,0.1,0.204,25,36,"0"
-165,155,0.38,0.384,29,18.2,1,0,0.25,0,31,31,"0"
-200,175,0.345,0.4,24.4,23.9286,1.5,3.6667,0.354,0.346,29,33,"1"
105,-125,0.49,0.46,4.29,3.71,0.5,1.66,0.26,0.38,22,34,"0"
-180,150,0.51,0.41,2.13,3.59,0,0,0,0,34,32,"0"
-128,118,0.496,0.46,4.59,4.11,0.46,1.77,0.66,0.4,36,38,"1"
-160,140,0.34,0.495,4.53,4.55,0,1.04,0,0.5,28,39,"1"
-130,100,0.63,0.402,40.75,22.75,0.4444,1.4286,0.5,0.502,29,27,"0"
185,-200,0.383,0.353,52.5,26.5556,2,2.4615,0.625,0.383,27,31,"1"
120,-140,0.328,0.436,11,27,0,7,0,0.46,26,27,"0"
-235,195,0.64,0.5,2.99,4.19,5.25,1.86,0.78,0.41,33,31,"0"
245,-290,0.395,0.563,89.6667,14,0,0,0,0,28,31,"0"
170,-215,0.53,0.505,26.0588,43.5,1.6667,2.4,0.526,0.431,28,22,"0"
180,-220,0.385,0.423,26.5,47.75,0,2.8,0,0.354,33,28,"1"
140,-177,0.41,0.56,33,29.7,1.7273,2.3,0.44,0.465,27,36,"0"
121,-140,0.47,0.53,7.45,5.47,0.21,1.78,0.14,0.308,34,31,"1"
450,-600,0.338,0.468,43,65.25,0.5,0,0.5,0,34,26,"1"
215,-278,0.34,0.623,51,49,0.5,6,0.35,1,26,25,"0"
59.7932402411945,-115.711474369147,0.42,0.4,1.31,2.01,3.06,4.18,0.42,0.38,35,31,"0"
-280,235,0.46,0.55,6.53,2.73,0,0.07,0,0.12,33,39,"0"
165,-190,0.36,0.52,4.25,5.07,1.69,0.15,0.3,0.25,29,29,"1"
125,-145,0.4,0.49,6.51,4.18,0,0.91,0,0.46,29,29,"1"
-135,115,0.56,0.52,5,3.03,2.45,1.81,0.55,0.26,27,31,"1"
150,-170,0.34,0.46,26,48.25,2.1111,1.5,0.415,0.5,30,29,"1"
425,-550,0.32,0.337,91.8,18.1,0.1429,0.2,0.167,0.1,32,30,"1"
-165,140,0.53,0.59,15.8571,71,0,3.3333,0,0.4,36,29,"1"
-600,450,0.44,0.413,40.5,43,0.75,0.9286,0.25,0.25,31,35,"0"
120,-140,0.587,0.424,11.7143,28.1429,0,0.1111,0,0.083,24,24,"1"
115,-135,0.643,0.39,40.6667,20,2,4.17,0.492,0.579,28,32,"1"
215,-255,0,0.688,0,18,0,1.5,0,0.56,27,37,"1"
-155,132,0.42,0.46,3.08,3.13,0.5,2.58,0.41,0.45,29,32,"0"
235,-290,0.49,0.61,4.48,4.46,1.08,0.93,0.163,0.75,28,32,"0"
525,-760,0.533,0.477,43.5,17.75,0.7143,1.3333,0.406,0.58,29,26,"1"
-110,-110,0.424,0.42,58.3333,40.6111,0.6667,0.75,0.283,0.361,29,31,"0"
130,-150,0.4,0.559,33,26.25,3.8,0.7778,0.516,0.311,31,25,"1"
-230,210,0.399,0.5,19,45.3333,2,1.5,0.287,0.302,32,36,"0"
130,-150,0.53,0.33,8.05,3.87,0,0,0,0,24,29,"0"
500,-198,0.279,0.42,18,33.75,2,2.4,0.25,0.556,30,31,"1"
-170,150,0.462,0.42,19.841809878528,21.1527659641032,0.57,0.7778,0.267,0.5,28,30,"1"
-170,150,0.445,0.46,56,46.8571,0.8,1.2,0.258,0.458,24,31,"0"
260,-290,0.413,0.48,4.58,4.61,0.27,2.11,0.12,0.36,27,30,"1"
650,-1000,0.26,0.483,2.18,4.34,0,3.45,0,0.432,29,25,"1"
235,-275,0.4,0.475,32.4,25,3.8,3.6667,0.421,0.48,30,28,"1"
245,-290,0.486,0.405,37,26.25,2.4,0.8571,0.197,0.375,38,31,"1"
250,-320,0.41,0.51,2.21,4.52,1.38,0,0.4,0,30,24,"0"
325,-400,0.27,0.383,28.6,36.25,4,0.6,0.5,0.151,30,28,"0"
-260,210,0.48,0.452,26.3333,51.8333,2,1.4615,0.338,0.61,24,27,"0"
59.7932402411945,-115.711474369147,0.54,0.4,3.35,3.36,3.41,0.88,0.39,0.33,29,30,"0"
250,-345,0.5,0.4,48.5,24.8667,2.6667,1.4615,0.319,0.295,30,30,"1"
59.7932402411945,-115.711474369147,0.45,0.42,2.34,2.62,3.08,1.54,0.63,0.4,29,35,"0"
-141,115,0.38,0.507,19.841809878528,21.1527659641032,0.6667,2.69,0.287,0.393,33,36,"0"
59.7932402411945,-115.711474369147,0.4,0.52,20,25.5714,1.14,1.75,0.42,0.4,35,38,"1"
-165,145,0.403,0.343,42.6667,76,3.7143,1,0.585,0.83,27,25,"1"
196,-240,0.38,0.448,3.66,6.48,2.34,1.69,0.76,1,36,25,"1"
335,-420,0.25,0.547,2.4,4.03,0.98,1.62,0.27,0.458,33,28,"1"
-110,-110,0.449,0.37,2.96,6,0.44,0.83,0.44,0.35,38,32,"1"
59.7932402411945,-115.711474369147,0.48,0.47,4.59,4.71,0.72,0.74,0.25,0.64,32,29,"0"
59.7932402411945,-115.711474369147,0.49,0.56,4.65,3.23,1.36,6.75,0.37,0.42,27,26,"0"
-275,235,0.46,0.45,21,20.1667,0.25,0.3636,0.333,0.214,35,40,"0"
170,-200,0.46,0.262,24.75,52,0.2857,1.625,0.189,0.424,24,34,"0"
-250,230,0.57,0.38,3.7,3.77,1.66,0,0.43,0,29,32,"0"
-165,145,0.466,0.703,40,34.25,0.2222,2.0909,0.133,0.66,28,32,"0"
185,-230,0.72,0.53,24.5,15,0,0.3333,0,0.167,32,29,"1"
620,-850,0.487,0.46,4.59,1.91,2.32,5.29,0.581,0.55,30,31,"1"
